"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0043401","steroid hormone mediated signaling pathway","BP",141,0,0,1,1
"GO:0045872","positive regulation of rhodopsin gene expression","BP",2,0,0,1,1
"GO:0045892","negative regulation of transcription, DNA-templated","BP",733,6,1,0.156909393998337,0.607935082643442
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process","BP",859,6,3,0.256973549504526,0.080243369442401
"GO:0046530","photoreceptor cell differentiation","BP",41,0,0,1,1
"GO:0048545","response to steroid hormone","BP",319,0,1,1,0.328157518957814
"GO:0048592","eye morphogenesis","BP",104,0,0,1,1
"GO:0048880","sensory system development","BP",250,0,1,1,0.266900964612131
"GO:0050877","nervous system process","BP",673,7,3,0.0481550755313675,0.0438175447124001
"GO:0050953","sensory perception of light stimulus","BP",143,2,1,0.160292979107154,0.161815724745314
"GO:0051172","negative regulation of nitrogen compound metabolic process","BP",1385,9,3,0.249661775729566,0.233631838636568
"GO:0051253","negative regulation of RNA metabolic process","BP",816,6,2,0.220715289930328,0.263426311876517
"GO:0051606","detection of stimulus","BP",182,1,0,0.602615606039925,1
"GO:0060041","retina development in camera-type eye","BP",98,0,0,1,1
"GO:0071310","cellular response to organic substance","BP",1950,11,3,0.382693549055567,0.438792096508055
"GO:0071383","cellular response to steroid hormone stimulus","BP",197,0,1,1,0.216448081493573
"GO:0071396","cellular response to lipid","BP",455,3,1,0.400176085241272,0.435474349856657
"GO:0071407","cellular response to organic cyclic compound","BP",469,3,2,0.419317732796987,0.109444232270736
"GO:0071495","cellular response to endogenous stimulus","BP",1033,8,3,0.138599425417092,0.123790694633339
"GO:0090596","sensory organ morphogenesis","BP",176,0,0,1,1
"GO:0150063","visual system development","BP",246,0,1,1,0.263198876469845
"GO:1902679","negative regulation of RNA biosynthetic process","BP",764,6,1,0.179663534409792,0.623839377191634
"GO:1903507","negative regulation of nucleic acid-templated transcription","BP",762,6,1,0.178154406643268,0.622831272669455
"GO:2000113","negative regulation of cellular macromolecule biosynthetic process","BP",839,6,2,0.239878719219309,0.27429733781347
"GO:0001505","regulation of neurotransmitter levels","BP",257,4,0,0.0389318858986104,1
"GO:0006082","organic acid metabolic process","BP",745,0,0,1,1
"GO:0006508","proteolysis","BP",949,4,2,0.714068621945291,0.326445039731798
"GO:0006520","cellular amino acid metabolic process","BP",226,0,0,1,1
"GO:0008652","cellular amino acid biosynthetic process","BP",49,0,0,1,1
"GO:0016053","organic acid biosynthetic process","BP",220,0,0,1,1
"GO:0019752","carboxylic acid metabolic process","BP",680,0,0,1,1
"GO:0042133","neurotransmitter metabolic process","BP",111,3,0,0.0178618101513927,1
"GO:0042135","neurotransmitter catabolic process","BP",16,1,0,0.0772300102125169,1
"GO:0043436","oxoacid metabolic process","BP",733,0,0,1,1
"GO:0046394","carboxylic acid biosynthetic process","BP",220,0,0,1,1
"GO:0006518","peptide metabolic process","BP",444,0,0,1,1
"GO:0043171","peptide catabolic process","BP",19,0,0,1,1
"GO:0043603","cellular amide metabolic process","BP",589,0,0,1,1
"GO:0001676","long-chain fatty acid metabolic process","BP",74,0,0,1,1
"GO:0006605","protein targeting","BP",259,0,0,1,1
"GO:0006625","protein targeting to peroxisome","BP",48,0,0,1,1
"GO:0006629","lipid metabolic process","BP",794,3,1,0.772419809990155,0.638669913043559
"GO:0006631","fatty acid metabolic process","BP",232,0,0,1,1
"GO:0006635","fatty acid beta-oxidation","BP",53,0,0,1,1
"GO:0006637","acyl-CoA metabolic process","BP",53,0,0,1,1
"GO:0006694","steroid biosynthetic process","BP",140,0,0,1,1
"GO:0006699","bile acid biosynthetic process","BP",24,0,0,1,1
"GO:0006732","coenzyme metabolic process","BP",124,1,0,0.465645657948301,1
"GO:0006790","sulfur compound metabolic process","BP",212,0,0,1,1
"GO:0006886","intracellular protein transport","BP",635,1,0,0.963320386330578,1
"GO:0007031","peroxisome organization","BP",54,0,0,1,1
"GO:0008202","steroid metabolic process","BP",239,0,0,1,1
"GO:0008206","bile acid metabolic process","BP",32,0,0,1,1
"GO:0008610","lipid biosynthetic process","BP",404,1,1,0.874414348437278,0.397207387687313
"GO:0009062","fatty acid catabolic process","BP",71,0,0,1,1
"GO:0009100","glycoprotein metabolic process","BP",206,0,0,1,1
"GO:0009101","glycoprotein biosynthetic process","BP",165,0,0,1,1
"GO:0009150","purine ribonucleotide metabolic process","BP",254,1,0,0.725615397340927,1
"GO:0009259","ribonucleotide metabolic process","BP",261,1,0,0.735362982273969,1
"GO:0010559","regulation of glycoprotein biosynthetic process","BP",25,0,0,1,1
"GO:0010561","negative regulation of glycoprotein biosynthetic process","BP",7,0,0,1,1
"GO:0015031","protein transport","BP",1116,5,2,0.672616231551473,0.40468275609772
"GO:0015833","peptide transport","BP",1144,6,2,0.518219758936743,0.417546241588776
"GO:0016032","viral process","BP",619,6,1,0.0863671489838514,0.544048316402966
"GO:0016042","lipid catabolic process","BP",191,0,0,1,1
"GO:0016054","organic acid catabolic process","BP",176,0,0,1,1
"GO:0016559","peroxisome fission","BP",5,0,0,1,1
"GO:0019395","fatty acid oxidation","BP",66,0,0,1,1
"GO:0019693","ribose phosphate metabolic process","BP",268,1,0,0.744771708625186,1
"GO:0030258","lipid modification","BP",149,0,0,1,1
"GO:0032787","monocarboxylic acid metabolic process","BP",407,0,0,1,1
"GO:0033365","protein localization to organelle","BP",535,1,0,0.937250065014611,1
"GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","BP",11,0,0,1,1
"GO:0033559","unsaturated fatty acid metabolic process","BP",79,0,0,1,1
"GO:0033865","nucleoside bisphosphate metabolic process","BP",69,0,0,1,1
"GO:0033875","ribonucleoside bisphosphate metabolic process","BP",69,0,0,1,1
"GO:0034032","purine nucleoside bisphosphate metabolic process","BP",69,0,0,1,1
"GO:0034440","lipid oxidation","BP",68,0,0,1,1
"GO:0035383","thioester metabolic process","BP",53,0,0,1,1
"GO:0036109","alpha-linolenic acid metabolic process","BP",9,0,0,1,1
"GO:0042886","amide transport","BP",1164,6,2,0.536108151366476,0.426674865449708
"GO:0043574","peroxisomal transport","BP",50,0,0,1,1
"GO:0043648","dicarboxylic acid metabolic process","BP",66,0,0,1,1
"GO:0043649","dicarboxylic acid catabolic process","BP",12,0,0,1,1
"GO:0044242","cellular lipid catabolic process","BP",133,0,0,1,1
"GO:0044255","cellular lipid metabolic process","BP",583,1,1,0.95146780069019,0.521990302131904
"GO:0044403","symbiotic process","BP",653,6,1,0.105095315581557,0.564027023387587
"GO:0044419","interspecies interaction between organisms","BP",1373,10,2,0.138627932424455,0.518412308408845
"GO:0045184","establishment of protein localization","BP",1168,6,2,0.539657200114892,0.428494316740645
"GO:0045222","CD4 biosynthetic process","BP",1,0,0,1,1
"GO:0045223","regulation of CD4 biosynthetic process","BP",1,0,0,1,1
"GO:0045225","negative regulation of CD4 biosynthetic process","BP",1,0,0,1,1
"GO:0046395","carboxylic acid catabolic process","BP",176,0,0,1,1
"GO:0046907","intracellular transport","BP",940,2,0,0.956966239799992,1
"GO:0048285","organelle fission","BP",217,1,0,0.667964392143979,1
"GO:0051186","cofactor metabolic process","BP",254,1,0,0.725615397340927,1
"GO:0051248","negative regulation of protein metabolic process","BP",658,3,1,0.649995991678541,0.566896973238129
"GO:0055114","oxidation-reduction process","BP",590,3,0,0.574316795471843,1
"GO:0072329","monocarboxylic acid catabolic process","BP",85,0,0,1,1
"GO:0072330","monocarboxylic acid biosynthetic process","BP",144,0,0,1,1
"GO:0072594","establishment of protein localization to organelle","BP",359,0,0,1,1
"GO:0072662","protein localization to peroxisome","BP",48,0,0,1,1
"GO:0072663","establishment of protein localization to peroxisome","BP",48,0,0,1,1
"GO:1901615","organic hydroxy compound metabolic process","BP",378,0,0,1,1
"GO:1901617","organic hydroxy compound biosynthetic process","BP",189,0,0,1,1
"GO:1903018","regulation of glycoprotein metabolic process","BP",29,0,0,1,1
"GO:1903019","negative regulation of glycoprotein metabolic process","BP",10,0,0,1,1
"GO:0001501","skeletal system development","BP",374,3,0,0.287961469955741,1
"GO:0001756","somitogenesis","BP",49,0,0,1,1
"GO:0002431","Fc receptor mediated stimulatory signaling pathway","BP",81,0,0,1,1
"GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","BP",76,0,0,1,1
"GO:0003002","regionalization","BP",238,2,0,0.335400355859413,1
"GO:0006909","phagocytosis","BP",212,0,0,1,1
"GO:0007010","cytoskeleton organization","BP",712,3,0,0.703247489144412,1
"GO:0007015","actin filament organization","BP",240,0,0,1,1
"GO:0007167","enzyme linked receptor protein signaling pathway","BP",721,5,1,0.29189166506919,0.601616221273219
"GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP",508,2,1,0.731185737155921,0.472889894249045
"GO:0007389","pattern specification process","BP",291,2,0,0.430577106240142,1
"GO:0008154","actin polymerization or depolymerization","BP",124,0,0,1,1
"GO:0009952","anterior/posterior pattern specification","BP",162,1,0,0.559792224469747,1
"GO:0016358","dendrite development","BP",142,0,0,1,1
"GO:0018108","peptidyl-tyrosine phosphorylation","BP",284,1,0,0.765066066288429,1
"GO:0018212","peptidyl-tyrosine modification","BP",286,1,0,0.767489159664117,1
"GO:0030029","actin filament-based process","BP",472,1,0,0.912278478905463,1
"GO:0030036","actin cytoskeleton organization","BP",395,1,0,0.868334409109306,1
"GO:0030099","myeloid cell differentiation","BP",306,1,0,0.790414799488111,1
"GO:0030219","megakaryocyte differentiation","BP",72,0,0,1,1
"GO:0033674","positive regulation of kinase activity","BP",422,1,1,0.885761982767499,0.410974575192451
"GO:0035282","segmentation","BP",69,1,0,0.293652841378539,1
"GO:0035855","megakaryocyte development","BP",14,0,0,1,1
"GO:0038093","Fc receptor signaling pathway","BP",166,0,0,1,1
"GO:0038094","Fc-gamma receptor signaling pathway","BP",77,0,0,1,1
"GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","BP",76,0,0,1,1
"GO:0043085","positive regulation of catalytic activity","BP",921,3,3,0.853803518289323,0.0947777596611737
"GO:0043549","regulation of kinase activity","BP",601,2,2,0.813123277922442,0.16469717538745
"GO:0044093","positive regulation of molecular function","BP",1148,4,3,0.844033789280697,0.156904342437479
"GO:0045859","regulation of protein kinase activity","BP",547,2,2,0.768620537907159,0.141390895585151
"GO:0045860","positive regulation of protein kinase activity","BP",392,1,1,0.866244517772824,0.387867433575488
"GO:0048010","vascular endothelial growth factor receptor signaling pathway","BP",76,0,0,1,1
"GO:0048813","dendrite morphogenesis","BP",88,0,0,1,1
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation","BP",189,0,0,1,1
"GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","BP",149,0,0,1,1
"GO:0050790","regulation of catalytic activity","BP",1440,7,3,0.596872913411901,0.252690583252741
"GO:0051338","regulation of transferase activity","BP",662,2,2,0.854301750049865,0.191928607628431
"GO:0051347","positive regulation of transferase activity","BP",467,1,1,0.909924444945373,0.444151099956468
"GO:0060348","bone development","BP",147,0,0,1,1
"GO:0061053","somite development","BP",62,0,0,1,1
"GO:0061097","regulation of protein tyrosine kinase activity","BP",58,0,0,1,1
"GO:0061098","positive regulation of protein tyrosine kinase activity","BP",38,0,0,1,1
"GO:0061515","myeloid cell development","BP",48,0,0,1,1
"GO:0065009","regulation of molecular function","BP",1809,8,3,0.710344156859225,0.386814049769666
"GO:0072673","lamellipodium morphogenesis","BP",12,0,0,1,1
"GO:0097435","supramolecular fiber organization","BP",415,0,0,1,1
"GO:0097581","lamellipodium organization","BP",50,0,0,1,1
"GO:0098751","bone cell development","BP",25,0,0,1,1
"GO:0005975","carbohydrate metabolic process","BP",410,0,0,1,1
"GO:0006040","amino sugar metabolic process","BP",23,0,0,1,1
"GO:0006041","glucosamine metabolic process","BP",2,0,0,1,1
"GO:0006043","glucosamine catabolic process","BP",1,0,0,1,1
"GO:0006044","N-acetylglucosamine metabolic process","BP",12,0,0,1,1
"GO:0006046","N-acetylglucosamine catabolic process","BP",1,0,0,1,1
"GO:0006047","UDP-N-acetylglucosamine metabolic process","BP",9,0,0,1,1
"GO:0006048","UDP-N-acetylglucosamine biosynthetic process","BP",6,0,0,1,1
"GO:0006054","N-acetylneuraminate metabolic process","BP",5,0,0,1,1
"GO:0006091","generation of precursor metabolites and energy","BP",375,3,0,0.289341104621249,1
"GO:0007338","single fertilization","BP",80,1,0,0.331901531734744,1
"GO:0009225","nucleotide-sugar metabolic process","BP",22,0,0,1,1
"GO:0009226","nucleotide-sugar biosynthetic process","BP",13,0,0,1,1
"GO:0009566","fertilization","BP",91,1,0,0.368122630832463,1
"GO:0016999","antibiotic metabolic process","BP",91,0,0,1,1
"GO:0017001","antibiotic catabolic process","BP",45,0,0,1,1
"GO:0019262","N-acetylneuraminate catabolic process","BP",2,0,0,1,1
"GO:0046348","amino sugar catabolic process","BP",6,0,0,1,1
"GO:0046349","amino sugar biosynthetic process","BP",7,0,0,1,1
"GO:1901071","glucosamine-containing compound metabolic process","BP",16,0,0,1,1
"GO:1901072","glucosamine-containing compound catabolic process","BP",4,0,0,1,1
"GO:0001508","action potential","BP",108,1,0,0.420355311168591,1
"GO:0006813","potassium ion transport","BP",151,0,2,1,0.0139616424124526
"GO:0006816","calcium ion transport","BP",292,2,1,0.432311726078158,0.304764671991187
"GO:0006941","striated muscle contraction","BP",140,0,0,1,1
"GO:0006942","regulation of striated muscle contraction","BP",78,0,0,1,1
"GO:0010959","regulation of metal ion transport","BP",272,0,1,1,0.286961900664879
"GO:0015672","monovalent inorganic cation transport","BP",329,1,2,0.814054044546679,0.0590679747943754
"GO:0022898","regulation of transmembrane transporter activity","BP",169,0,0,1,1
"GO:0030001","metal ion transport","BP",548,4,3,0.293479007676758,0.0257433248333906
"GO:0030048","actin filament-based movement","BP",114,0,0,1,1
"GO:0032409","regulation of transporter activity","BP",177,0,0,1,1
"GO:0032410","negative regulation of transporter activity","BP",53,0,0,1,1
"GO:0032411","positive regulation of transporter activity","BP",76,0,0,1,1
"GO:0032412","regulation of ion transmembrane transporter activity","BP",162,0,0,1,1
"GO:0032413","negative regulation of ion transmembrane transporter activity","BP",48,0,0,1,1
"GO:0032414","positive regulation of ion transmembrane transporter activity","BP",69,0,0,1,1
"GO:0032970","regulation of actin filament-based process","BP",249,0,0,1,1
"GO:0034220","ion transmembrane transport","BP",688,4,2,0.455393798325685,0.203769646911631
"GO:0034762","regulation of transmembrane transport","BP",361,0,0,1,1
"GO:0034763","negative regulation of transmembrane transport","BP",79,0,0,1,1
"GO:0034764","positive regulation of transmembrane transport","BP",146,0,0,1,1
"GO:0034765","regulation of ion transmembrane transport","BP",307,0,0,1,1
"GO:0034766","negative regulation of ion transmembrane transport","BP",66,0,0,1,1
"GO:0034767","positive regulation of ion transmembrane transport","BP",112,0,0,1,1
"GO:0035637","multicellular organismal signaling","BP",159,1,0,0.552991239400796,1
"GO:0042391","regulation of membrane potential","BP",302,4,1,0.063436959493369,0.313513658251853
"GO:0043266","regulation of potassium ion transport","BP",66,0,1,1,0.0779148408288208
"GO:0043267","negative regulation of potassium ion transport","BP",25,0,1,1,0.0301909309508036
"GO:0043269","regulation of ion transport","BP",468,0,1,1,0.444868661029168
"GO:0043270","positive regulation of ion transport","BP",213,0,0,1,1
"GO:0043271","negative regulation of ion transport","BP",106,0,1,1,0.122407273626954
"GO:0044092","negative regulation of molecular function","BP",691,3,1,0.683271770407488,0.585411950158325
"GO:0045759","negative regulation of action potential","BP",8,0,0,1,1
"GO:0045822","negative regulation of heart contraction","BP",20,1,0,0.09560723992294,1
"GO:0045932","negative regulation of muscle contraction","BP",20,0,0,1,1
"GO:0045988","negative regulation of striated muscle contraction","BP",7,0,0,1,1
"GO:0051924","regulation of calcium ion transport","BP",191,0,0,1,1
"GO:0051928","positive regulation of calcium ion transport","BP",101,0,0,1,1
"GO:0055085","transmembrane transport","BP",909,5,2,0.483307585225211,0.307481953382861
"GO:0055117","regulation of cardiac muscle contraction","BP",65,0,0,1,1
"GO:0055118","negative regulation of cardiac muscle contraction","BP",5,0,0,1,1
"GO:0060048","cardiac muscle contraction","BP",116,0,0,1,1
"GO:0060306","regulation of membrane repolarization","BP",29,0,0,1,1
"GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","BP",19,0,0,1,1
"GO:0061337","cardiac conduction","BP",112,1,0,0.432017809742326,1
"GO:0070252","actin-mediated cell contraction","BP",100,0,0,1,1
"GO:0070588","calcium ion transmembrane transport","BP",198,2,1,0.260968060419063,0.217428524117116
"GO:0070838","divalent metal ion transport","BP",303,3,1,0.192966728712996,0.314383028475113
"GO:0071805","potassium ion transmembrane transport","BP",128,0,1,1,0.146037469101483
"GO:0072511","divalent inorganic cation transport","BP",309,3,1,0.200671477721516,0.319578265049515
"GO:0086001","cardiac muscle cell action potential","BP",57,1,0,0.249484207710444,1
"GO:0086002","cardiac muscle cell action potential involved in contraction","BP",42,0,0,1,1
"GO:0086003","cardiac muscle cell contraction","BP",59,0,0,1,1
"GO:0086004","regulation of cardiac muscle cell contraction","BP",34,0,0,1,1
"GO:0086005","ventricular cardiac muscle cell action potential","BP",25,0,0,1,1
"GO:0086009","membrane repolarization","BP",39,0,0,1,1
"GO:0086011","membrane repolarization during action potential","BP",21,0,0,1,1
"GO:0086013","membrane repolarization during cardiac muscle cell action potential","BP",18,0,0,1,1
"GO:0086091","regulation of heart rate by cardiac conduction","BP",32,0,0,1,1
"GO:0097623","potassium ion export across plasma membrane","BP",11,0,0,1,1
"GO:0098655","cation transmembrane transport","BP",506,3,2,0.468962502405844,0.124315076064248
"GO:0098660","inorganic ion transmembrane transport","BP",506,3,2,0.468962502405844,0.124315076064248
"GO:0098662","inorganic cation transmembrane transport","BP",453,3,2,0.397429086017145,0.103189718950619
"GO:0098900","regulation of action potential","BP",44,1,0,0.198586610270083,1
"GO:0098901","regulation of cardiac muscle cell action potential","BP",24,1,0,0.113626456186204,1
"GO:0098903","regulation of membrane repolarization during action potential","BP",7,0,0,1,1
"GO:0098911","regulation of ventricular cardiac muscle cell action potential","BP",12,0,0,1,1
"GO:0098915","membrane repolarization during ventricular cardiac muscle cell action potential","BP",11,0,0,1,1
"GO:0099622","cardiac muscle cell membrane repolarization","BP",32,0,0,1,1
"GO:0099623","regulation of cardiac muscle cell membrane repolarization","BP",23,0,0,1,1
"GO:0099625","ventricular cardiac muscle cell membrane repolarization","BP",23,0,0,1,1
"GO:0106135","negative regulation of cardiac muscle cell contraction","BP",2,0,0,1,1
"GO:0140115","export across plasma membrane","BP",35,0,0,1,1
"GO:1901016","regulation of potassium ion transmembrane transporter activity","BP",36,0,0,1,1
"GO:1901017","negative regulation of potassium ion transmembrane transporter activity","BP",13,0,0,1,1
"GO:1901019","regulation of calcium ion transmembrane transporter activity","BP",66,0,0,1,1
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity","BP",31,0,0,1,1
"GO:1901379","regulation of potassium ion transmembrane transport","BP",51,0,0,1,1
"GO:1901380","negative regulation of potassium ion transmembrane transport","BP",17,0,0,1,1
"GO:1901385","regulation of voltage-gated calcium channel activity","BP",28,0,0,1,1
"GO:1901387","positive regulation of voltage-gated calcium channel activity","BP",9,0,0,1,1
"GO:1902259","regulation of delayed rectifier potassium channel activity","BP",14,0,0,1,1
"GO:1902260","negative regulation of delayed rectifier potassium channel activity","BP",7,0,0,1,1
"GO:1903115","regulation of actin filament-based movement","BP",37,0,0,1,1
"GO:1903169","regulation of calcium ion transmembrane transport","BP",110,0,0,1,1
"GO:1903523","negative regulation of blood circulation","BP",27,1,0,0.126910028967414,1
"GO:1903764","regulation of potassium ion export across plasma membrane","BP",4,0,0,1,1
"GO:1903765","negative regulation of potassium ion export across plasma membrane","BP",2,0,0,1,1
"GO:1903817","negative regulation of voltage-gated potassium channel activity","BP",8,0,0,1,1
"GO:1903946","negative regulation of ventricular cardiac muscle cell action potential","BP",2,0,0,1,1
"GO:1904062","regulation of cation transmembrane transport","BP",216,0,0,1,1
"GO:1904063","negative regulation of cation transmembrane transport","BP",59,0,0,1,1
"GO:1904064","positive regulation of cation transmembrane transport","BP",102,0,0,1,1
"GO:1904427","positive regulation of calcium ion transmembrane transport","BP",58,0,0,1,1
"GO:1905024","regulation of membrane repolarization during ventricular cardiac muscle cell action potential","BP",3,0,0,1,1
"GO:1905025","negative regulation of membrane repolarization during ventricular cardiac muscle cell action potential","BP",1,0,0,1,1
"GO:1905031","regulation of membrane repolarization during cardiac muscle cell action potential","BP",4,0,0,1,1
"GO:1905032","negative regulation of membrane repolarization during cardiac muscle cell action potential","BP",1,0,0,1,1
"GO:2001257","regulation of cation channel activity","BP",112,0,0,1,1
"GO:2001258","negative regulation of cation channel activity","BP",34,0,0,1,1
"GO:2001259","positive regulation of cation channel activity","BP",45,0,0,1,1
"GO:0001816","cytokine production","BP",505,2,1,0.728110202151584,0.47083379329342
"GO:0001817","regulation of cytokine production","BP",456,2,1,0.673714849025158,0.436202087129782
"GO:0001818","negative regulation of cytokine production","BP",172,1,0,0.581739459744148,1
"GO:0001895","retina homeostasis","BP",45,1,0,0.202618766188894,1
"GO:0001942","hair follicle development","BP",57,0,0,1,1
"GO:0006582","melanin metabolic process","BP",18,0,0,1,1
"GO:0008544","epidermis development","BP",247,1,0,0.715517036805949,1
"GO:0009611","response to wounding","BP",520,2,1,0.743203428883599,0.481041875209019
"GO:0009913","epidermal cell differentiation","BP",172,1,0,0.581739459744148,1
"GO:0010837","regulation of keratinocyte proliferation","BP",23,0,0,1,1
"GO:0010838","positive regulation of keratinocyte proliferation","BP",10,0,0,1,1
"GO:0018958","phenol-containing compound metabolic process","BP",81,0,0,1,1
"GO:0019748","secondary metabolic process","BP",48,0,0,1,1
"GO:0021700","developmental maturation","BP",180,1,0,0.59852357403045,1
"GO:0022404","molting cycle process","BP",58,0,0,1,1
"GO:0022405","hair cycle process","BP",58,0,0,1,1
"GO:0030177","positive regulation of Wnt signaling pathway","BP",115,1,0,0.440613805869188,1
"GO:0030216","keratinocyte differentiation","BP",136,0,0,1,1
"GO:0031424","keratinization","BP",78,0,0,1,1
"GO:0032400","melanosome localization","BP",14,1,0,0.0679049740642339,1
"GO:0032401","establishment of melanosome localization","BP",14,1,0,0.0679049740642339,1
"GO:0032402","melanosome transport","BP",13,1,0,0.0632079666547034,1
"GO:0032768","regulation of monooxygenase activity","BP",48,0,1,1,0.0572322332295335
"GO:0032770","positive regulation of monooxygenase activity","BP",29,0,1,1,0.0349438290833546
"GO:0032771","regulation of monophenol monooxygenase activity","BP",1,0,0,1,1
"GO:0032773","positive regulation of monophenol monooxygenase activity","BP",1,0,0,1,1
"GO:0032906","transforming growth factor beta2 production","BP",8,0,0,1,1
"GO:0032909","regulation of transforming growth factor beta2 production","BP",8,0,0,1,1
"GO:0032912","negative regulation of transforming growth factor beta2 production","BP",2,0,0,1,1
"GO:0033059","cellular pigmentation","BP",29,1,0,0.135657396459907,1
"GO:0042060","wound healing","BP",435,1,0,0.893327569605495,1
"GO:0042303","molting cycle","BP",70,0,0,1,1
"GO:0042438","melanin biosynthetic process","BP",17,0,0,1,1
"GO:0042633","hair cycle","BP",70,0,0,1,1
"GO:0042634","regulation of hair cycle","BP",20,0,0,1,1
"GO:0042636","negative regulation of hair cycle","BP",2,0,0,1,1
"GO:0042637","catagen","BP",3,0,0,1,1
"GO:0043455","regulation of secondary metabolic process","BP",9,0,0,1,1
"GO:0043473","pigmentation","BP",63,1,0,0.271895933020697,1
"GO:0043567","regulation of insulin-like growth factor receptor signaling pathway","BP",19,0,0,1,1
"GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","BP",11,0,0,1,1
"GO:0043588","skin development","BP",212,0,0,1,1
"GO:0043616","keratinocyte proliferation","BP",30,0,0,1,1
"GO:0044550","secondary metabolite biosynthetic process","BP",22,0,0,1,1
"GO:0044848","biological phase","BP",7,0,0,1,1
"GO:0044851","hair cycle phase","BP",7,0,0,1,1
"GO:0045682","regulation of epidermis development","BP",65,0,0,1,1
"GO:0045683","negative regulation of epidermis development","BP",12,0,0,1,1
"GO:0046189","phenol-containing compound biosynthetic process","BP",36,0,0,1,1
"GO:0048009","insulin-like growth factor receptor signaling pathway","BP",27,0,0,1,1
"GO:0048021","regulation of melanin biosynthetic process","BP",7,0,0,1,1
"GO:0048023","positive regulation of melanin biosynthetic process","BP",5,0,0,1,1
"GO:0048817","negative regulation of hair follicle maturation","BP",1,0,0,1,1
"GO:0048819","regulation of hair follicle maturation","BP",7,0,0,1,1
"GO:0048820","hair follicle maturation","BP",11,0,0,1,1
"GO:0051341","regulation of oxidoreductase activity","BP",73,0,1,1,0.0858460439291592
"GO:0051353","positive regulation of oxidoreductase activity","BP",45,0,1,1,0.053744418758644
"GO:0051650","establishment of vesicle localization","BP",109,2,0,0.103117339578427,1
"GO:0051656","establishment of organelle localization","BP",233,2,0,0.326163902940379,1
"GO:0051794","regulation of timing of catagen","BP",3,0,0,1,1
"GO:0051796","negative regulation of timing of catagen","BP",1,0,0,1,1
"GO:0051797","regulation of hair follicle development","BP",16,0,0,1,1
"GO:0051799","negative regulation of hair follicle development","BP",2,0,0,1,1
"GO:0051875","pigment granule localization","BP",15,1,0,0.0725789517962487,1
"GO:0051904","pigment granule transport","BP",14,1,0,0.0679049740642339,1
"GO:0051905","establishment of pigment granule localization","BP",15,1,0,0.0725789517962487,1
"GO:0060901","regulation of hair cycle by canonical Wnt signaling pathway","BP",1,0,0,1,1
"GO:0071604","transforming growth factor beta production","BP",32,1,0,0.148617997851175,1
"GO:0071634","regulation of transforming growth factor beta production","BP",31,1,0,0.144319053720038,1
"GO:0071635","negative regulation of transforming growth factor beta production","BP",6,0,0,1,1
"GO:0071695","anatomical structure maturation","BP",151,1,0,0.534349057490331,1
"GO:0090263","positive regulation of canonical Wnt signaling pathway","BP",94,1,0,0.377663173733109,1
"GO:0098773","skin epidermis development","BP",57,0,0,1,1
"GO:1900376","regulation of secondary metabolite biosynthetic process","BP",8,0,0,1,1
"GO:1900378","positive regulation of secondary metabolite biosynthetic process","BP",6,0,0,1,1
"GO:1902908","regulation of melanosome transport","BP",2,0,0,1,1
"GO:1902910","positive regulation of melanosome transport","BP",1,0,0,1,1
"GO:0002221","pattern recognition receptor signaling pathway","BP",112,1,0,0.432017809742326,1
"GO:0002224","toll-like receptor signaling pathway","BP",92,0,0,1,1
"GO:0002756","MyD88-independent toll-like receptor signaling pathway","BP",25,0,0,1,1
"GO:0006974","cellular response to DNA damage stimulus","BP",472,3,1,0.423397503513606,0.44773049213508
"GO:0007249","I-kappaB kinase/NF-kappaB signaling","BP",154,2,1,0.179890445695333,0.173217495245047
"GO:0010212","response to ionizing radiation","BP",100,0,0,1,1
"GO:0010952","positive regulation of peptidase activity","BP",133,1,1,0.489581162856497,0.151326635295738
"GO:0016579","protein deubiquitination","BP",160,0,0,1,1
"GO:0030162","regulation of proteolysis","BP",457,3,1,0.402920180143307,0.436928971452517
"GO:0034097","response to cytokine","BP",925,7,0,0.175333754325603,1
"GO:0034612","response to tumor necrosis factor","BP",239,1,0,0.703530701106983,1
"GO:0035666","TRIF-dependent toll-like receptor signaling pathway","BP",24,0,0,1,1
"GO:0043122","regulation of I-kappaB kinase/NF-kappaB signaling","BP",135,2,1,0.14632182127476,0.153433949841928
"GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","BP",24,0,0,1,1
"GO:0045862","positive regulation of proteolysis","BP",228,1,1,0.686239925757876,0.246328240181343
"GO:0051336","regulation of hydrolase activity","BP",775,4,3,0.551200569990553,0.0624192710500093
"GO:0051345","positive regulation of hydrolase activity","BP",470,1,3,0.911344173432431,0.0171129392271246
"GO:0052547","regulation of peptidase activity","BP",292,3,1,0.179057229727922,0.304764671991187
